len(train_dataset) =  118876
train_dataset.iters_per_epoch =  7430
len(train_loader) =  3715
steps_per_valid =  928
https://storage.googleapis.com/sfr-vision-language-research/BLIP/models/model_large.pth
large
load checkpoint from /raid/maxusen/ImageReward/train/model_large.pth
missing keys:
[]
learning rate decaying style cosine, ratio 0.0
Validation - Iteration 0 | Loss 0.69315 | Acc 0.4752
Iteration 1 | Loss 0.69315 | Acc 0.4688
Iteration 2 | Loss 0.69315 | Acc 0.4844
Iteration 3 | Loss 0.69315 | Acc 0.4844
Iteration 4 | Loss 0.69315 | Acc 0.4531
Iteration 5 | Loss 0.69315 | Acc 0.3906
Iteration 6 | Loss 0.69315 | Acc 0.5781
Iteration 7 | Loss 0.69315 | Acc 0.4375
Iteration 8 | Loss 0.69315 | Acc 0.5312
Iteration 9 | Loss 0.69315 | Acc 0.5000
Iteration 10 | Loss 0.69315 | Acc 0.4688
Iteration 11 | Loss 0.69315 | Acc 0.4844
Iteration 12 | Loss 0.69315 | Acc 0.4844
Iteration 13 | Loss 0.69315 | Acc 0.5000
Iteration 14 | Loss 0.69315 | Acc 0.4531
Iteration 15 | Loss 0.69315 | Acc 0.4688
Iteration 16 | Loss 0.69315 | Acc 0.5312
Iteration 17 | Loss 0.69315 | Acc 0.5312
Iteration 18 | Loss 0.69315 | Acc 0.5781
Iteration 19 | Loss 0.69315 | Acc 0.5469
Iteration 20 | Loss 0.69315 | Acc 0.4844
Iteration 21 | Loss 0.69315 | Acc 0.4531
Iteration 22 | Loss 0.69315 | Acc 0.4062
Iteration 23 | Loss 0.69315 | Acc 0.5469
Iteration 24 | Loss 0.69315 | Acc 0.4531
Iteration 25 | Loss 0.69315 | Acc 0.5781
Iteration 26 | Loss 0.69315 | Acc 0.5469
Iteration 27 | Loss 0.69315 | Acc 0.4531
Iteration 28 | Loss 0.69315 | Acc 0.5781
Iteration 29 | Loss 0.69315 | Acc 0.4844
Iteration 30 | Loss 0.69315 | Acc 0.4844
Iteration 31 | Loss 0.69315 | Acc 0.5312
Iteration 32 | Loss 0.69315 | Acc 0.4531
Iteration 33 | Loss 0.69315 | Acc 0.4844
Iteration 34 | Loss 0.69315 | Acc 0.5469
Iteration 35 | Loss 0.69315 | Acc 0.6719
Iteration 36 | Loss 0.69315 | Acc 0.5469
Iteration 37 | Loss 0.69315 | Acc 0.5000
Iteration 38 | Loss 0.69315 | Acc 0.5625
Iteration 39 | Loss 0.69315 | Acc 0.5938
Iteration 40 | Loss 0.69315 | Acc 0.4844
Iteration 41 | Loss 0.69315 | Acc 0.5000
Iteration 42 | Loss 0.69315 | Acc 0.5156
Iteration 43 | Loss 0.69315 | Acc 0.5156
Iteration 44 | Loss 0.69315 | Acc 0.4062
Iteration 45 | Loss 0.69315 | Acc 0.5000
Iteration 46 | Loss 0.69315 | Acc 0.4219
Iteration 47 | Loss 0.69315 | Acc 0.5156
Iteration 48 | Loss 0.69315 | Acc 0.5312
Iteration 49 | Loss 0.69315 | Acc 0.6250
Iteration 50 | Loss 0.69315 | Acc 0.4688
Iteration 51 | Loss 0.69315 | Acc 0.6094
Iteration 52 | Loss 0.69315 | Acc 0.4375
Iteration 53 | Loss 0.69315 | Acc 0.5312
Iteration 54 | Loss 0.69315 | Acc 0.4844
Iteration 55 | Loss 0.69315 | Acc 0.4375
Iteration 56 | Loss 0.69315 | Acc 0.5469
Iteration 57 | Loss 0.69315 | Acc 0.5781
Iteration 58 | Loss 0.69315 | Acc 0.4375
Iteration 59 | Loss 0.69315 | Acc 0.5469
Iteration 60 | Loss 0.69315 | Acc 0.4688
Iteration 61 | Loss 0.69315 | Acc 0.5469
Iteration 62 | Loss 0.69315 | Acc 0.5000
Iteration 63 | Loss 0.69315 | Acc 0.5000
Iteration 64 | Loss 0.69315 | Acc 0.5000
Iteration 65 | Loss 0.69315 | Acc 0.4844
Iteration 66 | Loss 0.69315 | Acc 0.5000
Iteration 67 | Loss 0.69315 | Acc 0.5312
Iteration 68 | Loss 0.69315 | Acc 0.5625
Iteration 69 | Loss 0.69315 | Acc 0.5000
Iteration 70 | Loss 0.69315 | Acc 0.5469
Iteration 71 | Loss 0.69315 | Acc 0.4844
Iteration 72 | Loss 0.69315 | Acc 0.5156
Iteration 73 | Loss 0.69315 | Acc 0.5312
Iteration 74 | Loss 0.69315 | Acc 0.5156
Iteration 75 | Loss 0.69315 | Acc 0.4219
Iteration 76 | Loss 0.69315 | Acc 0.3906
Iteration 77 | Loss 0.69315 | Acc 0.5156
Iteration 78 | Loss 0.69315 | Acc 0.4844
Iteration 79 | Loss 0.69315 | Acc 0.4844
Iteration 80 | Loss 0.69315 | Acc 0.5625
Iteration 81 | Loss 0.69315 | Acc 0.5156
Iteration 82 | Loss 0.69315 | Acc 0.4688
Iteration 83 | Loss 0.69315 | Acc 0.5781
Iteration 84 | Loss 0.69315 | Acc 0.6250
Iteration 85 | Loss 0.69315 | Acc 0.5000
Iteration 86 | Loss 0.69315 | Acc 0.5781
Iteration 87 | Loss 0.69315 | Acc 0.6250
Iteration 88 | Loss 0.69315 | Acc 0.6562
Iteration 89 | Loss 0.69315 | Acc 0.3906
Iteration 90 | Loss 0.69315 | Acc 0.4844
Iteration 91 | Loss 0.69315 | Acc 0.4219
Iteration 92 | Loss 0.69315 | Acc 0.5156
Iteration 93 | Loss 0.69315 | Acc 0.5156
Iteration 94 | Loss 0.69315 | Acc 0.4688
Iteration 95 | Loss 0.69315 | Acc 0.4531
Iteration 96 | Loss 0.69315 | Acc 0.5156
Iteration 97 | Loss 0.69315 | Acc 0.4688
Iteration 98 | Loss 0.69315 | Acc 0.4062
Iteration 99 | Loss 0.69315 | Acc 0.5312
Iteration 100 | Loss 0.69315 | Acc 0.4531
Iteration 101 | Loss 0.69315 | Acc 0.5469
Iteration 102 | Loss 0.69315 | Acc 0.5938
Iteration 103 | Loss 0.69315 | Acc 0.5156
Iteration 104 | Loss 0.69315 | Acc 0.5312
Iteration 105 | Loss 0.69315 | Acc 0.4219
Iteration 106 | Loss 0.69315 | Acc 0.4688
Iteration 107 | Loss 0.69315 | Acc 0.5156
Iteration 108 | Loss 0.69315 | Acc 0.4844
Iteration 109 | Loss 0.69315 | Acc 0.3906
Iteration 110 | Loss 0.69315 | Acc 0.4844
Iteration 111 | Loss 0.69315 | Acc 0.3594
Iteration 112 | Loss 0.69315 | Acc 0.5000
Iteration 113 | Loss 0.69315 | Acc 0.4531
Iteration 114 | Loss 0.69315 | Acc 0.5312
Iteration 115 | Loss 0.69315 | Acc 0.5312
